Timestamp,X-axis,Y-axis,Z-axis
1722103275167,192,-384,768
1722103275167,0,-192,768
1722103275167,0,-576,768
1722103275167,192,-576,1152
1722103275167,192,-384,768
1722103275167,384,-192,576
1722103275167,384,-384,1152
1722103275167,192,-192,1152
1722103275167,192,-192,576
1722103275167,192,-384,1152
1722103275167,576,-384,960
1722103275219,-192,192,960
1722103275219,-192,192,960
1722103275219,-192,192,960
1722103275219,-192,0,960
1722103275219,-192,0,960
1722103275219,-192,192,960
1722103275219,-192,0,960
1722103275219,-192,0,960
1722103275219,-192,0,960
1722103275219,0,0,768
1722103275219,-192,192,960
1722103275219,-192,0,960
1722103275219,-192,0,960
1722103275219,-192,0,960
1722103275219,-192,0,960
1722103275219,-192,0,960
1722103275219,-192,0,960
1722103275219,-192,0,960
1722103275219,-192,0,960
1722103275219,-192,0,960
1722103275219,0,192,960
1722103275219,-192,192,960
1722103275219,-192,192,960
1722103275219,-192,192,960
1722103275219,-192,192,960
1722103275219,-192,0,960
1722103275219,-192,192,960
1722103275219,-192,192,960
1722103275219,-192,192,960
1722103275219,-192,192,960
1722103275219,-192,0,768
1722103275219,0,192,960
1722103275287,0,0,960
1722103275287,-192,0,960
1722103275287,-192,192,960
1722103275287,-192,192,960
1722103275287,-192,192,960
1722103275287,-192,0,1152
1722103275287,-192,0,960
1722103275287,-192,0,960
1722103275287,-192,0,960
1722103275287,-192,192,960
1722103275287,-192,0,960
1722103275287,-192,0,960
1722103275287,-192,0,960
1722103275287,-192,0,960
1722103275287,0,0,960
1722103275287,-192,0,960
1722103275287,-192,192,960
1722103275287,0,0,960
1722103275287,-192,192,960
1722103275287,0,192,960
1722103275287,-192,192,960
1722103275287,-192,0,960
1722103275287,-192,0,960
1722103275287,-192,192,960
1722103275287,-192,192,960
1722103275287,0,0,960
1722103275287,0,192,960
1722103275287,0,0,960
1722103275287,-192,0,960
1722103275287,-192,0,960
1722103275287,-192,192,768
1722103275287,-192,192,768
1722103275287,-192,0,960
1722103275353,-192,192,960
1722103275353,-192,0,768
1722103275353,-192,0,960
1722103275353,-192,192,960
1722103275353,-192,192,960
1722103275353,-192,192,960
1722103275353,0,0,960
1722103275353,0,192,960
1722103275353,0,192,960
1722103275353,-192,192,960
1722103275353,0,0,960
1722103275353,0,192,960
1722103275353,-192,192,960
1722103275353,-192,192,960
1722103275353,0,0,960
1722103275353,-192,0,960
1722103275353,-192,0,960
1722103275353,-192,192,960
1722103275353,-192,192,960
1722103275353,0,192,960
1722103275353,-192,192,768
1722103275353,-192,0,960
1722103275353,-192,0,960
1722103275353,-192,192,960
1722103275353,-192,192,960
1722103275353,-192,0,960
1722103275353,-192,192,960
1722103275353,-192,192,960
1722103275353,-192,192,960
1722103275353,0,192,960
1722103275353,-192,192,960
1722103275353,0,192,960
1722103275418,-192,0,960
1722103275418,-192,192,960
1722103275418,-192,192,960
1722103275418,0,192,960
1722103275418,-192,192,960
1722103275418,-192,0,960
1722103275418,-192,0,960
1722103275418,-192,192,960
1722103275418,-192,0,960
1722103275418,-192,0,960
1722103275418,0,0,960
1722103275418,-192,192,960
1722103275418,-192,0,960
1722103275418,-192,192,960
1722103275418,0,192,960
1722103275418,0,192,960
1722103275418,-192,192,960
1722103275418,-192,0,960
1722103275418,-192,192,960
1722103275418,-192,192,960
1722103275418,-192,192,960
1722103275418,-192,0,960
1722103275418,-192,0,960
1722103275418,-192,0,960
1722103275418,-192,192,960
1722103275418,0,192,960
1722103275418,0,192,960
1722103275418,-192,192,960
1722103275418,-192,192,960
1722103275418,-192,0,960
1722103275418,-192,0,960
1722103275418,-192,0,960
1722103275483,-192,0,960
1722103275483,-192,192,960
1722103275483,-192,192,960
1722103275483,-192,0,960
1722103275483,-192,0,960
1722103275483,-192,0,960
1722103275483,-192,0,960
1722103275483,-192,192,960
1722103275483,0,192,960
1722103275483,-192,192,960
1722103275483,-192,0,960
1722103275483,0,192,960
1722103275483,0,192,960
1722103275483,-192,192,960
1722103275483,0,192,960
1722103275483,-192,192,960
1722103275483,-192,0,960
1722103275483,-192,192,960
1722103275483,-192,192,960
1722103275483,-192,0,960
1722103275483,-192,0,960
1722103275483,0,192,768
1722103275483,-192,192,960
1722103275483,-192,192,960
1722103275483,-192,0,960
1722103275483,-192,0,960
1722103275483,-192,192,960
1722103275483,0,0,960
1722103275483,0,192,768
1722103275483,-192,192,768
1722103275483,-192,192,960
1722103275483,-192,192,960
1722103275549,-192,192,960
1722103275549,-192,192,960
1722103275549,0,192,960
1722103275549,-192,192,960
1722103275549,-192,192,960
1722103275549,0,0,960
1722103275549,-192,192,960
